"POINTID","GRID_CODE","coords.x1","coords.x2","elevation","slope","aspect","hillshade","clay","sand","bd","soc","LC"
1,0.28202718,-9548038.56118906,3710801.14351084,547,1,327,182,27,37,151,5,10
2,0.28202718,-9547038.56118906,3710801.14351084,560,1,286,184,27,39,147,5,10
3,0.28202718,-9546038.56118906,3710801.14351084,586,2,286,186,27,40,145,5,10
4,0.23218918,-9545038.56118906,3710801.14351084,616,1,29,179,27,42,144,5,9
5,0.23218918,-9544038.56118906,3710801.14351084,601,1,19,179,28,41,143,5,10
6,0.23218918,-9543038.56118906,3710801.14351084,603,1,8,180,29,40,144,5,10
7,0.21139923,-9542038.56118906,3710801.14351084,595,2,39,177,27,40,145,5,9
8,0.21139923,-9541038.56118906,3710801.14351084,574,2,8,179,28,39,147,5,9
9,0.21139923,-9540038.56118906,3710801.14351084,586,2,15,179,28,42,145,5,9
10,0.24283062,-9539038.56118906,3710801.14351084,535,2,9,179,27,42,149,4,10
11,0.24283062,-9538038.56118906,3710801.14351084,548,3,346,182,27,42,148,4,9
12,0.24283062,-9537038.56118906,3710801.14351084,554,2,11,179,27,43,148,4,9
13,0.24565692,-9536038.56118906,3710801.14351084,534,2,18,178,28,42,148,5,10
14,0.24565692,-9535038.56118906,3710801.14351084,533,3,11,179,28,42,148,4,9
15,0.24565692,-9534038.56118906,3710801.14351084,519,2,28,177,27,45,146,4,9
16,0.20413883,-9533038.56118906,3710801.14351084,499,3,12,179,27,46,147,4,9
17,0.20413883,-9532038.56118906,3710801.14351084,495,2,49,176,26,45,148,4,9
18,0.20413883,-9531038.56118906,3710801.14351084,464,2,46,175,27,44,148,4,9
19,0.19657363,-9530038.56118906,3710801.14351084,448,2,15,179,25,47,151,4,9
20,0.19657363,-9529038.56118906,3710801.14351084,452,2,348,182,25,48,151,4,10
21,0.19657363,-9528038.56118906,3710801.14351084,463,2,312,185,27,45,154,4,10
22,0.201105,-9527038.56118906,3710801.14351084,497,2,314,185,26,47,152,4,10
23,0.201105,-9526038.56118906,3710801.14351084,455,3,44,174,27,45,153,4,9
24,0.201105,-9525038.56118906,3710801.14351084,447,2,17,178,25,51,150,4,9
25,0.19639131,-9524038.56118906,3710801.14351084,437,2,37,176,24,49,152,4,9
26,0.19639131,-9523038.56118906,3710801.14351084,407,2,351,181,22,53,152,4,9
27,0.19639131,-9522038.56118906,3710801.14351084,444,2,288,187,24,52,146,4,9
28,0.2149054,-9521038.56118906,3710801.14351084,467,2,264,186,25,51,145,4,9
29,0.2149054,-9520038.56118906,3710801.14351084,497,2,268,186,28,43,141,5,10
