type of time series,type of anomalies,shock magnitude,temporal method,spatial method,auc
trend_seasonal,point,3,NN,laws,0.970973414141414
trend_seasonal,point,3,NN,no_laws,0.9277611363636363
trend_seasonal,point,3,outlier_test,laws,0.9583854936868688
trend_seasonal,point,3,outlier_test,no_laws,0.879731417929293
trend_seasonal,collective,3,NN,laws,0.85225459331457
trend_seasonal,collective,3,NN,no_laws,0.7979550021350801
trend_seasonal,collective,3,outlier_test,laws,0.689628130574347
trend_seasonal,collective,3,outlier_test,no_laws,0.6660942614200491
trend_seasonal,point,2,NN,laws,0.8846316691919193
trend_seasonal,point,2,NN,no_laws,0.8031339116161617
trend_seasonal,point,2,outlier_test,laws,0.8365163383838383
trend_seasonal,point,2,outlier_test,no_laws,0.7336430050505051
trend_seasonal,collective,2,NN,laws,0.7684374645029786
trend_seasonal,collective,2,NN,no_laws,0.6982380553837675
trend_seasonal,collective,2,outlier_test,laws,0.6436861303408555
trend_seasonal,collective,2,outlier_test,no_laws,0.6126105929422456
trend_seasonal,point,1,NN,laws,0.6721476199494949
trend_seasonal,point,1,NN,no_laws,0.6171690454545454
trend_seasonal,point,1,outlier_test,laws,0.6113408093434343
trend_seasonal,point,1,outlier_test,no_laws,0.5791172234848485
trend_seasonal,collective,1,NN,laws,0.6075857489713751
trend_seasonal,collective,1,NN,no_laws,0.5741062928067784
trend_seasonal,collective,1,outlier_test,laws,0.582832028620591
trend_seasonal,collective,1,outlier_test,no_laws,0.5427836422363019
iid_noise,point,3,NN,laws,0.9844865503838501
iid_noise,point,3,NN,no_laws,0.9533332804264907
iid_noise,point,3,outlier_test,laws,0.994293765613193
iid_noise,point,3,outlier_test,no_laws,0.9613671174681195
iid_noise,collective,3,NN,laws,0.9841223361457491
iid_noise,collective,3,NN,no_laws,0.9543788652312196
iid_noise,collective,3,outlier_test,laws,0.9921405992317918
iid_noise,collective,3,outlier_test,no_laws,0.9522208882353931
iid_noise,point,2,NN,laws,0.9314545732323233
iid_noise,point,2,NN,no_laws,0.8513926186868688
iid_noise,point,2,outlier_test,laws,0.9669049027777776
iid_noise,point,2,outlier_test,no_laws,0.8516402840909092
iid_noise,collective,2,NN,laws,0.9264752062508415
iid_noise,collective,2,NN,no_laws,0.8451442677832189
iid_noise,collective,2,outlier_test,laws,0.9579098775326467
iid_noise,collective,2,outlier_test,no_laws,0.8390056271981859
iid_noise,point,1,NN,laws,0.7167988358585858
iid_noise,point,1,NN,no_laws,0.6323003434343434
iid_noise,point,1,outlier_test,laws,0.7469231553030302
iid_noise,point,1,outlier_test,no_laws,0.6282717916666667
iid_noise,collective,1,NN,laws,0.7299577782650949
iid_noise,collective,1,NN,no_laws,0.6354768998531738
iid_noise,collective,1,outlier_test,laws,0.7509143033538638
iid_noise,collective,1,outlier_test,no_laws,0.6321872738708266
ar,point,3,NN,laws,0.9838961800731026
ar,point,3,NN,no_laws,0.9526463728309139
ar,point,3,outlier_test,laws,0.9929207268274269
ar,point,3,outlier_test,no_laws,0.9602586369213066
ar,collective,3,NN,laws,0.8960520002440091
ar,collective,3,NN,no_laws,0.817648761443188
ar,collective,3,outlier_test,laws,0.9284509704622712
ar,collective,3,outlier_test,no_laws,0.8128244690697362
ar,point,2,NN,laws,0.9288416250000001
ar,point,2,NN,no_laws,0.8488596982323232
ar,point,2,outlier_test,laws,0.9640690000000001
ar,point,2,outlier_test,no_laws,0.8465092563131313
ar,collective,2,NN,laws,0.8001786223264169
ar,collective,2,NN,no_laws,0.7106041790248889
ar,collective,2,outlier_test,laws,0.8201786052352584
ar,collective,2,outlier_test,no_laws,0.7046821504674037
ar,point,1,NN,laws,0.7076199646464646
ar,point,1,NN,no_laws,0.631492587121212
ar,point,1,outlier_test,laws,0.7441276553030303
ar,point,1,outlier_test,no_laws,0.6288330555555556
ar,collective,1,NN,laws,0.6260292821503095
ar,collective,1,NN,no_laws,0.5768804757442278
ar,collective,1,outlier_test,laws,0.6079194170284733
ar,collective,1,outlier_test,no_laws,0.572138844101289
